,0
2000-01-01,57.72134
2000-04-01,55.48491
2000-07-01,54.99213
2000-10-01,54.2579
2001-01-01,55.14434
2001-04-01,54.03165
2001-07-01,54.79763
2001-10-01,55.75216
2002-01-01,55.6965
2002-04-01,56.27087
2002-07-01,56.7026
2002-10-01,57.91028
2003-01-01,57.81906
2003-04-01,58.96101
2003-07-01,58.64541
2003-10-01,59.44466
2004-01-01,59.8071
2004-04-01,60.05487
2004-07-01,59.96643
2004-10-01,60.63713
2005-01-01,60.91302
2005-04-01,60.64153
2005-07-01,60.35856
2005-10-01,61.32008
2006-01-01,61.55642
2006-04-01,61.22142
2006-07-01,61.3328
2006-10-01,61.82689
2007-01-01,62.25297
2007-04-01,61.57219
2007-07-01,61.84826
2007-10-01,62.71924
2008-01-01,64.17278
2008-04-01,63.85172
2008-07-01,67.28455
2008-10-01,73.24515
2009-01-01,77.10496
2009-04-01,80.28013
2009-07-01,82.42733
2009-10-01,84.02935
2010-01-01,86.51175
2010-04-01,88.12832
2010-07-01,89.56528
2010-10-01,91.61134
2011-01-01,92.95614
2011-04-01,92.1938
2011-07-01,94.52098
2011-10-01,96.09072
2012-01-01,97.12308
2012-04-01,97.82763
2012-07-01,98.44787
2012-10-01,100.07497
2013-01-01,100.73997
2013-04-01,100.05758
2013-07-01,98.72797
2013-10-01,99.79118
2014-01-01,102.34617
2014-04-01,100.6513
2014-07-01,100.11145
2014-10-01,101.2805
2015-01-01,100.49009
2015-04-01,99.30094
2015-07-01,98.63595
2015-10-01,102.64192
2016-01-01,103.98904
2016-04-01,103.58005
2016-07-01,103.60355
2016-10-01,104.64891
2017-01-01,102.93741
2017-04-01,102.08817
2017-07-01,102.80463
2017-10-01,102.27408
2018-01-01,103.74395
2018-04-01,102.98411
2018-07-01,103.4489
2018-10-01,105.04941
2019-01-01,104.37709
2019-04-01,102.98581
2019-07-01,104.7253
2019-10-01,105.93081
2020-01-01,106.99007
2020-04-01,132.96365
2020-07-01,124.47265
2020-10-01,125.98604
2021-01-01,124.47938
2021-04-01,122.48408
2021-07-01,119.304
2021-10-01,120.12854
2022-01-01,121.46238
2022-04-01,119.66902
2022-07-01,118.98189
2022-10-01,118.97609
